ID,Longitude,Latitude,Height,Comment,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Point_ID
1,-74.304040147,22.763468575,-31.81528,b1104 gcp a,2.0,1.1,Real-time Code,ProXRT,6/7/2019,04:04:01pm,New,Point_ge,060719.ssf,423,423,Generic,2056,504257.000,-31.81528,0.56162,0.45111,0.170007,1
2,-74.304040808,22.763467941,-31.85956,b1104 gcp a retake,2.0,1.1,Real-time Code,ProXRT,6/7/2019,04:11:08pm,New,Point_ge,060719.ssf,181,181,Generic,2056,504684.000,-31.85956,0.35468,0.28704,0.031556,2
3,-74.303983661,22.763398638,-32.02412,b1104 gcp b,2.0,1.1,Real-time Code,ProXRT,6/7/2019,04:15:23pm,New,Point_ge,060719.ssf,193,193,Generic,2056,504939.000,-32.02412,0.32834,0.25654,0.050902,3
4,-74.304032084,22.763360000,-33.07732,b1104 gcp c,1.8,1.0,Real-time Code,ProXRT,6/7/2019,04:19:48pm,New,Point_ge,060719.ssf,184,184,Generic,2056,505204.000,-33.07732,0.31532,0.22917,0.035067,4
5,-74.304134801,22.763419858,-33.19058,b1104 gcp d,2.6,1.3,Real-time Code,ProXRT,6/7/2019,04:25:17pm,New,Point_ge,060719.ssf,205,205,Generic,2056,505533.000,-33.19058,0.30238,0.19986,0.033284,5
6,-74.304142860,22.763485510,-32.78298,b1104 gcp e,1.8,0.9,Real-time Code,ProXRT,6/7/2019,04:29:51pm,New,Point_ge,060719.ssf,208,208,Generic,2056,505807.000,-32.78298,0.27983,0.18318,0.032749,6
7,-74.309007228,22.765709750,-33.40727,b1105 a,2.3,0.9,Real-time Code,ProXRT,6/7/2019,04:44:41pm,New,Point_ge,060719.ssf,871,871,Generic,2056,506697.000,-33.40727,0.14129,0.11461,0.076517,7
8,-74.309008379,22.765709799,-33.25908,b1105 gcp a2,2.3,0.9,Real-time Code,ProXRT,6/7/2019,04:59:16pm,New,Point_ge,060719.ssf,139,139,Generic,2056,507572.000,-33.25908,0.08570,0.08037,0.012553,8
9,-74.308924854,22.765690105,-32.59146,b1105 gcp b,2.4,1.0,Real-time Code,ProXRT,6/7/2019,05:02:16pm,New,Point_ge,060719.ssf,229,229,Generic,2056,507752.000,-32.59146,0.07749,0.07648,0.019761,9
10,-74.309054560,22.765668996,-33.70712,b1105 gcp c,2.5,1.0,Real-time Code,ProXRT,6/7/2019,05:12:22pm,New,Point_ge,060719.ssf,184,184,Generic,2056,508358.000,-33.70712,0.58379,0.70966,0.150362,10
