ID,Longitude,Latitude,Height,Comment,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Point_ID
1,-74.199792380,22.768103882,-34.00588,B806_GCP_A,3.0,1.3,Real-time Code,ProXRT,6/26/2017,11:07:03am,New,Point_ge,BCI_JUNE262017.ssf,3,3,Generic,1955,140839.000,-34.00588,0.41471,0.20289,0.010570,1
2,-74.199788626,22.768103266,-34.57056,B806_GCP_A_2,4.8,1.8,Real-time Code,ProXRT,6/26/2017,11:08:13am,New,Point_ge,BCI_JUNE262017.ssf,100,100,Generic,1955,140909.000,-34.57056,0.08131,0.21597,0.493739,2
3,-74.199783798,22.768103225,-34.63016,B806_GCP_A_3,4.8,1.8,Real-time Code,ProXRT,6/26/2017,11:25:13am,New,Point_ge,BCI_JUNE262017.ssf,135,135,Generic,1955,141929.000,-34.63016,0.04601,0.12822,0.146396,3
4,-74.199861095,22.768110397,-33.87276,B806_GCP_B,2.7,1.4,Real-time Code,ProXRT,6/26/2017,11:52:33am,New,Point_ge,BCI_JUNE262017.ssf,181,181,Generic,1955,143569.000,-33.87276,0.04139,0.10082,0.034772,4
5,-74.199847487,22.768141700,-31.82353,B806_GCP_C,2.5,1.4,Real-time Code,ProXRT,6/26/2017,11:59:07am,New,Point_ge,BCI_JUNE262017.ssf,191,191,Generic,1955,143963.000,-31.82353,0.03946,0.09739,0.030840,5
6,-74.199818093,22.768132186,-32.65734,B806_GCP_D,2.3,1.3,Real-time Code,ProXRT,6/26/2017,12:04:55pm,New,Point_ge,BCI_JUNE262017.ssf,196,196,Generic,1955,144311.000,-32.65734,0.03782,0.09459,0.020937,6
7,-74.199762767,22.768132571,-32.38082,B806_GCP_E,2.8,1.8,Real-time Code,ProXRT,6/26/2017,12:14:01pm,New,Point_ge,BCI_JUNE262017.ssf,609,609,Generic,1955,144857.000,-32.38082,0.17547,0.15137,0.466586,7
8,-74.199765241,22.768081252,-35.82406,B806_CORAL1,2.3,1.3,Real-time Code,ProXRT,6/26/2017,12:27:50pm,New,Point_ge,BCI_JUNE262017.ssf,181,181,Generic,1955,145686.000,-35.82406,0.12568,0.13948,0.337254,8
9,-74.199993930,22.768124350,-35.50695,B806_5e_coral,4.2,2.3,Real-time Code,ProXRT,6/26/2017,12:35:54pm,New,Point_ge,BCI_JUNE262017.ssf,62,62,Generic,1955,146170.000,-35.50695,0.11221,0.13186,0.449262,9
10,-74.200157429,22.768165166,-35.50674,B806_5e_coral-highest-insitu,2.1,1.2,Real-time Code,ProXRT,6/26/2017,12:37:47pm,New,Point_ge,BCI_JUNE262017.ssf,61,61,Generic,1955,146283.000,-35.50674,0.14989,0.14749,0.027123,10
11,-74.200228799,22.768148462,-35.91863,B806_5e-massive-coral,1.9,1.1,Real-time Code,ProXRT,6/26/2017,12:42:33pm,New,Point_ge,BCI_JUNE262017.ssf,61,61,Generic,1955,146569.000,-35.91863,0.14409,0.14102,0.179362,11
12,-74.201026241,22.766927614,-33.85786,BM18 1973 land and survey bahama,2.6,1.6,Real-time Code,ProXRT,6/26/2017,12:49:40pm,New,Point_ge,BCI_JUNE262017.ssf,288,288,Generic,1955,146996.000,-33.85786,0.12934,0.13490,0.058177,12
13,-74.173828983,22.755348728,-34.18332,B807_GCP_F laser 0.75,5.4,2.6,Real-time Code,ProXRT,6/26/2017,04:43:17pm,New,Point_ge,BCI_JUNE262017.ssf,60,60,Generic,1955,161013.000,-34.18332,0.48133,0.31101,0.050320,13
14,-74.173830091,22.755271963,-34.44469,B807_GCP_G laser 0.75,4.5,2.4,Real-time Code,ProXRT,6/26/2017,04:53:38pm,New,Point_ge,BCI_JUNE262017.ssf,304,304,Generic,1955,161634.000,-34.44469,0.38326,0.26687,0.044847,14
15,-74.173913077,22.755468946,-34.91494,B807_GCP_E laser 0.75,4.1,2.4,Real-time Code,ProXRT,6/26/2017,04:58:46pm,New,Point_ge,BCI_JUNE262017.ssf,63,63,Generic,1955,161942.000,-34.91494,0.35084,0.25141,0.024357,15
