,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
output_new96Cp430_ICE6G_Wael_S,0,-57.281904364956745,43.41469049904711,0.0,0.846960928317545,9.377940968254115e-11,0.0,True,log
output_new71Cp440_ICE6G_Wael_S,1,-59.71748553725635,50.145800599928286,2.4355811722996066,0.07414876342633496,4.354403841321571e-11,0.0,True,log
output_new96Cp530_ICE6G_Wael_S,2,-60.15862633604055,65.49090133466869,2.8767219710838035,0.047700057007012256,4.1440831929474474e-11,0.0,True,log
output_new96Cp540_ICE6G_Wael_S,3,-61.395295930963556,52.4091455118097,4.113391566006811,0.013849692054928564,7.84601083247559e-11,0.0,True,log
output_new96Cp440_ICE6G_Wael_S,4,-61.86956173525996,57.41061679488821,4.587657370303212,0.008619242413845565,3.929103430777171e-11,0.0,True,log
output_new96Cp53_ICE6G_Wael_S,5,-62.56019534935957,47.24276073629229,5.2782909844028225,0.0043204673517896475,6.943621560065289e-11,0.0,True,log
output_new71Cp430_ICE6G_Wael_S,6,-63.44275615564262,44.31308602974422,6.160851790685875,0.0017874727905629415,4.5035188303594395e-11,0.0,True,log
output_new96Cp420_ICE6G_Wael_S,7,-63.687529025523745,50.40419812121563,6.405624660567,0.0013993808706077547,4.0915030308765804e-11,0.0,True,log
output_new71Cp540_ICE6G_Wael_S,8,-64.37624661332694,54.31711365508828,7.094342248370197,0.0007027966535490792,5.392920405638399e-11,0.0,True,log
output_new96Cp43_ICE6G_Wael_S,9,-65.77671063546474,43.92532400756387,8.494806270507993,0.0001732271211623032,3.271536721224616e-11,0.0,True,log
output_new71Cp530_ICE6G_Wael_S,10,-65.98075665920463,46.83588993413169,8.698852294247885,0.00014125369780406308,9.762077319443056e-14,0.0,True,log
output_new71Cp43_ICE6G_Wael_S,11,-66.46593810612664,38.2188099916895,9.184033741169898,8.695372685295995e-05,2.281651702181222e-11,0.0,True,log
output_new96Cp340_ICE6G_Wael_S,12,-66.8456534353849,43.6688638411118,9.563749070428159,5.9481228337430556e-05,5.1796586382767216e-11,0.0,True,log
output_new71Cp340_ICE6G_Wael_S,13,-68.13951144981877,44.14654581294822,10.857607084862025,1.6310397015995422e-05,7.603005217338745e-11,0.0,True,log
