,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
output_new96Cp540_L6G-47_Wael_S,0,-40.88364052564652,73.49470677269773,0.0,0.6267941371486698,5.604957458295392e-11,0.0,True,log
output_new71Cp440_L6G-47_Wael_T,1,-41.76036779917757,70.46937445066882,0.8767272735310527,0.26083574593213527,1.6506889619644225e-11,0.0,True,log
output_new96Cp540_L6G_Wael_T,2,-43.40806996741943,75.7036353428791,2.5244294417729094,0.05020871991214676,7.321236028525664e-11,0.0,True,log
output_new96Cp440_L6G_Wael_T,3,-44.87527210501231,60.53261095919025,3.9916315793657873,0.011576608776077054,3.011892498282448e-11,0.0,True,log
output_new96Cp340_Lambeck_Wael_S,4,-45.50201027676384,62.30012588695675,4.618369751117321,0.0061857509036768845,5.335563577040475e-11,0.0,True,log
output_new96Cp440_L6G-47_Wael_S,5,-45.569043427241766,71.24116780760116,4.685402901595246,0.005784692793269778,9.91819520842596e-12,0.0,True,log
output_new96Cp530_L6G-47_Wael_S,6,-45.65967805023182,72.0205561225655,4.776037524585298,0.005283457073486486,8.475793506407169e-12,0.0,True,log
output_new71Cp515_L6G-47_Wael_T,7,-46.34764389318464,60.15738319095037,5.464003367538119,0.002655451745741831,2.8664275751268235e-11,0.0,True,log
output_new96Cp440_L6G-47_Wael_T,8,-46.49216631316451,59.75645925980815,5.608525787517991,0.0022981222335717168,6.862519914935437e-11,0.0,True,log
output_new71Cp420_L6G-47_Wael_T,9,-46.55112030217703,61.183322856266244,5.667479776530513,0.0021665550689826288,5.5974593566290345e-11,0.0,True,log
output_new71Cp540_L6G-47_Wael_T,10,-46.60514873048443,64.28828796456004,5.72150820483791,0.002052605479931704,4.672332718922389e-11,0.0,True,log
output_new71Cp540_Lambeck_Wael_S,11,-46.87415981365018,65.4687425068589,5.990519288003661,0.0015684672503172106,1.3359185343132001e-11,0.0,True,log
output_new71Cp530_L6G_Wael_T,12,-47.049895897649826,82.22696722511344,6.166255372003306,0.0013156920287538511,7.233521403828042e-11,0.0,True,log
output_new71Cp430_L6G_Wael_T,13,-47.07003913828907,71.11549353604312,6.186398612642549,0.0012894548654944268,4.328724521778739e-11,0.0,True,log
output_new96Cp415_Lambeck_Wael_S,14,-47.084633903200405,58.931643772214684,6.2009933775538855,0.0012707722407529949,5.24106139328596e-11,0.0,True,log
output_new96Cp530_L6G_Wael_T,15,-47.1798284811813,81.49511924930786,6.2961879555347835,0.0011553810480298596,5.381038312081513e-11,0.0,True,log
output_new71Cp540_L6G_Wael_T,16,-47.34042839343872,80.91624400193804,6.456787867792201,0.000983960317016846,2.8742435451916692e-11,0.0,True,log
output_new96Cp430_L6G-47_Wael_T,17,-47.399505867124006,63.60937992979004,6.515865341477486,0.0009275141907073784,4.449222301184109e-11,0.0,True,log
output_new71Cp510_L6G-47_Wael_T,18,-47.40014745058238,54.795052142649645,6.516506924935861,0.0009269193038008818,4.2382892573166263e-11,0.0,True,log
output_new96Cp520_L6G-47_Wael_S,19,-47.42516051383991,75.12858574314507,6.541519988193393,0.0009040217751012129,2.375181171137316e-12,0.0,True,log
output_new71Cp55_Colleoni_Wael_T,20,-47.45505670709493,61.08881526529526,6.571416181448413,0.0008773949686664724,5.094787776167646e-11,0.0,True,log
output_new96Cp540_Lambeck_Wael_S,21,-47.581612175471946,59.63886105218118,6.697971649825426,0.0007730948818213893,5.24282427738187e-12,0.0,True,log
output_new96Cp530_Lambeck_Wael_S,22,-47.58463056283385,59.68327756701822,6.700990037187331,0.0007707649001625083,5.4585856553040176e-11,0.0,True,log
